Corbin Burnes
Justin Verlander
Ketel Marte
Walker Buehler
Jackie Bradley Jr.
Carlos Carrasco
Anthony Rizzo
Shane Bieber
Christian Yelich
Manny Machado
Wade Miley
Max Muncy
Byron Buxton
Andrew Benintendi
Sean Manaea
Whit Merrifield
Jeff McNeil
Ken Griffey Jr.
Joe Musgrove
Mike Trout
DJ LeMahieu
Jordan Montgomery
Sandy Alcántara
Yordan Alvarez
Ryan Pressly
Charlie Morton
Germán Márquez
Zack Wheeler
Freddie Freeman
Bo Bichette
Nick Pivetta
Kevin Pillar
Gunnar Henderson
George Springer
Yasmani Grandal
José Berríos
Max Scherzer
Ian Happ
Corey Seager
Shohei Ohtani
